timestamp,city,temperature,weather,description
2025-08-09 13:02:48,Mumbai,29.99,Haze,haze
2025-08-09 13:02:48,Hyderabad,28.23,Haze,haze
2025-08-09 13:02:49,Delhi,27.05,Mist,mist
2025-08-09 13:02:49,Chennai,29.89,Clouds,scattered clouds
2025-08-09 13:02:49,Kolkata,29.97,Haze,haze
2025-08-09 16:44:12,Mumbai,28.99,Haze,haze
2025-08-09 16:44:12,Hyderabad,23.23,Clouds,scattered clouds
2025-08-09 16:44:12,Delhi,26.05,Mist,mist
2025-08-09 16:44:13,Chennai,28.92,Clouds,scattered clouds
2025-08-09 16:44:13,Kolkata,27.97,Haze,haze
2025-08-10 02:40:21,Mumbai,26.99,Mist,mist
2025-08-10 02:40:21,Hyderabad,24.23,Mist,mist
2025-08-10 02:40:21,Delhi,28.05,Mist,mist
2025-08-10 02:40:21,Chennai,29.45,Clouds,overcast clouds
2025-08-10 02:40:21,Kolkata,29.97,Haze,haze
2025-08-10 04:54:52,Mumbai,26.99,Mist,mist
2025-08-10 04:54:52,Hyderabad,26.23,Haze,haze
2025-08-10 04:54:52,Delhi,30.05,Mist,mist
2025-08-10 04:54:52,Chennai,31.71,Clouds,overcast clouds
2025-08-10 04:54:53,Kolkata,32.97,Haze,haze
2025-08-10 08:43:03,Mumbai,28.99,Clouds,broken clouds
2025-08-10 08:43:03,Hyderabad,29.23,Haze,haze
2025-08-10 08:43:03,Delhi,32.05,Haze,haze
2025-08-10 08:43:03,Chennai,34.14,Clouds,overcast clouds
2025-08-10 08:43:03,Kolkata,33.97,Haze,haze
2025-08-10 13:03:02,Mumbai,28.99,Haze,haze
2025-08-10 13:03:02,Hyderabad,26.23,Haze,haze
2025-08-10 13:03:02,Delhi,32.05,Haze,haze
2025-08-10 13:03:02,Chennai,28.86,Drizzle,light intensity drizzle
2025-08-10 13:03:02,Kolkata,30.97,Haze,haze
2025-08-10 16:44:33,Mumbai,26.99,Mist,mist
2025-08-10 16:44:33,Hyderabad,25.23,Haze,haze
2025-08-10 16:44:33,Delhi,30.05,Mist,mist
2025-08-10 16:44:33,Chennai,26.53,Mist,mist
2025-08-10 16:44:34,Kolkata,28.97,Haze,haze
2025-08-11 02:36:13,Mumbai,27.99,Mist,mist
2025-08-11 02:36:13,Hyderabad,24.23,Mist,mist
2025-08-11 02:36:13,Delhi,29.05,Mist,mist
2025-08-11 02:36:13,Chennai,28.54,Clouds,overcast clouds
2025-08-11 02:36:13,Kolkata,30.97,Haze,haze
2025-08-11 04:59:02,Mumbai,29.99,Haze,haze
2025-08-11 04:59:03,Hyderabad,25.23,Mist,mist
2025-08-11 04:59:03,Delhi,31.05,Haze,haze
2025-08-11 04:59:03,Chennai,30.93,Haze,haze
2025-08-11 04:59:03,Kolkata,31.97,Haze,haze
2025-08-11 08:48:51,Mumbai,30.99,Haze,haze
2025-08-11 08:48:51,Hyderabad,30.23,Haze,haze
2025-08-11 08:48:51,Delhi,32.05,Haze,haze
2025-08-11 08:48:51,Chennai,33.94,Clouds,scattered clouds
2025-08-11 08:48:51,Kolkata,29.97,Clouds,overcast clouds
